PLAYER_NAME,PLAYER_POSITION,PLAYER_TEAM,2019_G,2019_GS,2019_IP,2019_BB,2019_K,2019_W,2019_SV,2019_HD,2019_ERA,2019_WHIP,2019_K/9,2020_G,2020_GS,2020_IP,2020_BB,2020_K,2020_W,2020_SV,2020_HD,2020_ERA,2020_WHIP,2020_K/9,2020_OUTLOOK
Patrick Corbin,SP,Nationals,33.0,33.0,202.0,70.0,238.0,14.0,0.0,0.0,3.25,1.18,10.6,12.0,12.0,71.0,24.0,81.0,5.0,0.0,0.0,3.93,1.27,10.27,"Corbin enjoyed a second consecutive productive season as a retooled pitcher. He always had a good fastball and a great slider, but adding a curveball to give him two different shapes to his breaking ball has taken his game to a new level. It has allowed him to go deeper into games, leaving him less exposed to the penalty pitchers face when they are up against a lineup for the third time with a limited repertoire. The expanded repertoire also has made it tougher for righties to hit him; he had a 1.40 WHIP and an 11 K-BB% against them from 2012-17 and has a 1.11 WHIP with a 21 K-BB% the past two seasons. He would front many rotations and could front your fantasy rotation, even if he's only the third-best guy in his real-life rotation."
Charlie Morton,SP,Rays,33.0,33.0,194.2,57.0,240.0,16.0,0.0,0.0,3.05,1.08,11.1,12.0,12.0,69.0,22.0,80.0,5.0,0.0,0.0,3.26,1.13,10.43,"Morton followed up the first season in which he made 30 starts by making 33 starts and setting a career high with 194 2/3 innings of work. The issue of durability dogged Morton most of his professional career, but he has bucked the trend and become more durable as he has aged. Tampa Bay did not show much concern for his workload, as it allowed him to work deep into games to give the bullpen as much time off as possible. Morton made the transition from Houston to Tampa Bay easily, since the two organizations have similar pitching philosophies of fastballs up and everything else down or sweeping out of the zone. The only fear with Morton is his body might begin to act its age and fail him as it did early in his career. He is an underrated ace."
Blake Snell,SP,Rays,23.0,23.0,107.0,40.0,147.0,6.0,0.0,0.0,4.29,1.27,12.36,11.0,11.0,61.0,23.0,80.0,4.0,0.0,0.0,3.39,1.13,11.8,"Where almost everything went right for Snell during his Cy Young 2018, almost everything went wrong for him in the encore. He made a pair of trips to the injured list, first for a fractured toe, then for an elbow issue that cost him 53 days, and saw his BABIP soar by 102 points, home run/fly ball percentage rise by nearly 5 full percentage points and left-on-base percentage plummet to 71.6, below the league average. Beneath all that, his skills seemed stable: His strikeout rate rose, from 31.6% to 33.3%; he lost scarcely any fastball velocity; and he afforded similarly weak contact rates. FIP tells it all: Snell's rose from 2.95 to 3.32, with the latter a better indication of true talent, accounting for expected regression to the mean. Snell remains capable of a top-10 fantasy starter's season, though his year-over-year innings totals suggest some caution is advised."
Chris Paddack,SP,Padres,26.0,26.0,140.2,31.0,153.0,9.0,0.0,0.0,3.33,0.98,9.79,11.0,11.0,61.0,11.0,62.0,4.0,0.0,0.0,3.84,1.03,9.15,"Paddack rode a lights-out spring to a spot in the Padres' Opening Day rotation and posted one of the most electric rookie campaigns we've seen in some time. Among rookies who made at least 20 starts, his 4.94 K-to-walk ratio ranked ninth-best, and his 26.9% strikeout rate was 12th best all time. Paddack's elite changeup, coupled with a plus fastball that can hit the mid-90s, gives him a strong combination that should allow him to match, if not exceed, his 2019 numbers. If there's any limit to his fantasy potential, it's volume. He made only 26 starts and totaled 140 2/3 innings, as the Padres looked to rein him in after he had pitched only 90 innings in 2018 in his first season back from Tommy John surgery. Can he make 30-plus starts and pitch 180-plus innings? It's possible, and the chance of it is worth selecting him among the top 20 starters on your draft board."
Luis Castillo,SP,Reds,32.0,32.0,190.2,79.0,226.0,15.0,0.0,0.0,3.45,1.14,10.67,12.0,12.0,69.0,28.0,77.0,5.0,0.0,0.0,3.78,1.23,10.04,"Castillo predictably rebounded in 2019, after a rather unlucky 2018 in terms of both ERA and total strikeouts. In fact, he even stepped up his game by posting a 28.9% strikeout rate that was his highest in any season since he was in rookie ball in 2013. He continued to flash one of the game's most dominating changeups, while boosting his four-seam fastball velocity to 96.5 mph on average, traits that should increase his odds of repeating (or even exceeding) that performance. Castillo has established himself as one of the 20 best starting pitchers in fantasy, regardless of format, and while his hitting-friendly home ballpark (Great American Ball Park) will probably hold him back from reaching the pinnacle at his position, he's a strong investment at a prime age 27 and coming off back-to-back 30-start campaigns."
Josh Hader,RP,Brewers,61.0,0.0,75.2,20.0,138.0,3.0,37.0,6.0,2.62,0.81,16.41,18.0,0.0,24.0,5.0,43.0,1.0,13.0,1.0,3.0,0.79,16.13,"Only the fourth reliever to strike out at least 125 batters in back-to-back seasons (Dellin Betances, Rob Dibble, Dick Radatz), Hader is one of the few relief pitchers whose strikeout totals are so gaudy, he can make up for some of the shortcomings of your fantasy rotation. He's also the most logical choice to close for the Brewers, which is saying something considering their matchup-oriented pitching strategy, meaning that he'll probably cruise to a No. 1 finish among relievers in any format even if he's not a contender for the major league saves lead. If there are any concerns with Hader, it's the hefty amount of work he has had the past two seasons -- he averaged 1.35 innings and 21.5 pitches per outing -- as well as the 15 home runs he surrendered in 2019. Attribute the latter partly to the baseball and partly some bad luck on fly balls, because all of his other skills were beyond elite, and in fact showed some slight signs of improvement. Hader is the rare reliever truly worthy of a top-50 overall pick."
Lucas Giolito,SP,White Sox,29.0,29.0,176.2,57.0,228.0,14.0,0.0,0.0,3.41,1.06,11.62,12.0,12.0,71.0,24.0,87.0,5.0,0.0,0.0,3.68,1.11,11.03,"Giolito entered 2019 with an entirely new approach. He ditched a forgettable sinker, cleaned up his delivery while shifting his position on the pitching rubber, and saw a near-2 mph boost in his average four-seam fastball velocity. This helped shape one of the season's biggest breakthrough stories, as he shaved nearly three full runs off his ERA and more than two full runs off his FIP, resulting in a top-16 finish among starting pitchers in both rotisserie and points-based leagues. While the instinct among fantasy baseball managers is to always assume regression from the unexpectedly good, Giolito's adjustments vastly strengthen his repeat prospects. Considering he has long been considered an ace-in-waiting, he has a realistic chance at taking another step forward in 2020. Snatch him up before the top 25 starting pitchers or top 100 overall players are off the board."
Kirby Yates,RP,Padres,60.0,0.0,60.2,13.0,101.0,0.0,41.0,0.0,1.19,0.89,14.98,23.0,0.0,23.0,5.0,35.0,1.0,14.0,0.0,2.35,0.91,13.7,"Going into 2019, Yates was considered a candidate for an in-season deal to a destination where he could set up an established closer. That's still a threat with Yates entering his final season before free agency, but the Padres are on the verge of contending and it's more likely than not that Yates would close for a different team. His stuff isn't dominant, averaging 93.5 mph on his fastball, but he did generate a swinging-strike rate of 16.7%. Yates is essentially a two-pitch guy with his splitter inducing a 17.9% swinging-strike rate. The southpaw uses the fastball a little over 50% of the time but will mix his pitches in all counts, keeping batters off balance. Yates' 36.2% K-BB ranked second only to Josh Hader's 40.8% mark among all pitchers with at least 60 innings. No one is a lock to lead the league in saves, but if forced to guess who might do so, Yates should be on the short list."
Zack Greinke,SP,Astros,33.0,33.0,208.2,30.0,187.0,18.0,0.0,0.0,3.06,0.99,8.07,12.0,12.0,74.0,14.0,69.0,6.0,0.0,0.0,3.41,1.05,8.39,"Every spring, timid drafters are scared away from Greinke, as his velocity is inevitably down and he gets knocked around. By season's end, someone less risk-averse is generally rewarded with an outstanding campaign. To wit, Greinke's ERA the past three seasons is 3.10 with a sparkling 1.04 WHIP, averaging 206 2/3 innings with 200 punchouts per season. On paper, there's no reason to expect a decline, other than age, as the veteran is 36 years old. Greinke's spin rates are tepid compared to the usual Astros hurlers, but the Houston coaching staff still should be beneficial, helping temper any age-related skills erosion. There will still be a contingent looking to avoid Greinke, preferring to be one year too early. Considering the positive team context and recent performance levels, the better approach is taking the discount, especially for fantasy managers who wait on pitching."
Aaron Nola,SP,Phillies,34.0,34.0,202.1,80.0,229.0,12.0,0.0,0.0,3.87,1.27,10.19,12.0,12.0,75.0,27.0,80.0,5.0,0.0,0.0,4.08,1.24,9.6,"After a breakthrough 2018 during which he was baseball's only qualified pitcher to post at least 25% strikeout and 50% ground ball rates as well as a sub-7.5% walk rate, Nola's control regressed to a professional-worst 9.4% in 2019, with it dragging down all of his pertinent fantasy numbers. While he was one of only six pitchers to make at least 34 starts and pitch at least 200 innings, his ERA soared by a run and a half, with his underlying skills suggesting it was a true representation of the performance. In Nola's defense, his average four-seam fastball velocity continued a three-year pattern of increase, his past track record suggests he should be sharper with his control in 2020, and he's one of the more reliable arms from a volume standpoint. He should cruise to a top-20 finish at his position, and if he's looking sharp in the spring, might have a path to top-10 status."
